,index,Unnamed: 0,posts,Mach,LSRP12,LSRP2,NRSM,languages
0,0,0,my heart my soul..T-T,68.0,1.3,2.5,3.0,en
1,2,2,Free speech is a joke in this country,68.0,1.3,2.5,3.0,en
2,5,5,"Make 500 sequels I don't care.Make another Justice league and your franchise is dead to me...-_-
#SDCCTrailers",68.0,1.3,2.5,3.0,en
3,6,6,Everybody wants a piece of the politically correct cake,68.0,1.3,2.5,3.0,en
4,10,10,And that's how a movement dies.,68.0,1.3,2.5,3.0,en
6,15,15,"France won the world cup
Croatia won our hearts...<3",68.0,1.3,2.5,3.0,en
7,16,16,Underdogs all the way boiiiii,68.0,1.3,2.5,3.0,en
8,21,21,*Gets beaten by two teams who reached the finals*,68.0,1.3,2.5,3.0,en
9,23,23,"yes please do post one more ""Its coming home..sorry England is coming home""..as if people were not creative enough(!)",68.0,1.3,2.5,3.0,en
10,25,25,sorry not sorry,68.0,1.3,2.5,3.0,en
11,27,27,"ow boy the cringe is real on this one...
#Businessescomm_class
#dhamalmvi",68.0,1.3,2.5,3.0,en
12,29,29,"Damn it stop stealing articles from the onion, dude",68.0,1.3,2.5,3.0,en
15,32,32,welp time to delete the memes...,68.0,1.3,2.5,3.0,en
16,33,33,The onion called they want their article back,68.0,1.3,2.5,3.0,en
17,34,34,কালাই রুটি with the best company at rajsahi!,68.0,1.3,2.5,3.0,en
18,37,37,Bring on them memes plox...,68.0,1.3,2.5,3.0,en
20,51,51,"This is what you expect from a world cup match!
#respect",68.0,1.3,2.5,3.0,en
23,61,61,A+ for the commitment..xD,68.0,1.3,2.5,3.0,en
25,66,66,"Cox's Bazar.
TB",68.0,1.3,2.5,3.0,en
26,67,67,r/therewasanattemt,68.0,1.3,2.5,3.0,en
27,68,68,"Apparently 7 years jail time is not enough for slaughtering a cow.You have to kill him for proper justice.Cow=1,Humanity=0.",68.0,1.3,2.5,3.0,en
28,69,69,"Battle Royal on Black ops coz why not?
#fortniteandmoney",68.0,1.3,2.5,3.0,en
30,71,71,"*Insert Ryand Renold's ""but why"" gif here*",68.0,1.3,2.5,3.0,en
32,75,75,"The only thing worse than thanos's massacre was finding those friends that says ""spolier lagbe spoiler?""..",68.0,1.3,2.5,3.0,en
33,76,76,*coughs*innovation *coughs*,68.0,1.3,2.5,3.0,en
34,79,79,The hype for infinity war ruined my hype for infinity war,68.0,1.3,2.5,3.0,en
37,85,85,"The grass was greener 
The light was brighter 
With friends surrounded 
The nights of wonder",68.0,1.3,2.5,3.0,en
38,86,86,Way to a new beginning for our family.,68.0,1.3,2.5,3.0,en
39,87,87,">come online
>see loathsome post about Bangladesh and politics
>....
>leave",68.0,1.3,2.5,3.0,en
40,89,89,"Gazipur e boshe asi 2hr+ rastar pashe moylar storage.Batashe sugndho.Bosonto asche mone hosse.😊😊😊😊
#blessed #Deshprem",68.0,1.3,2.5,3.0,en
41,90,90,"Apple: *farts*
Every other Chinese company ever: *farts but at only $500""",68.0,1.3,2.5,3.0,en
42,91,91,"Before you say ""Black mirror is just futuristic and wont happen in real life ever"".Please read this!",68.0,1.3,2.5,3.0,en
43,92,92,If this doesn't getchu then u have no soul.,68.0,1.3,2.5,3.0,en
44,95,95,And then God said:If you sin you will be punished with 1.5hrs  of class instead of the usual 50mins.,68.0,1.3,2.5,3.0,en
45,96,96,Brings Back College Memories.,68.0,1.3,2.5,3.0,en
46,97,97,Enjoying the times with food and good company..:D,68.0,1.3,2.5,3.0,en
47,98,98,credits:Tanvir Hossain vhai,68.0,1.3,2.5,3.0,en
48,99,99,"Allhamdulliah.
Congratulations vhai for getting chance to study M.Phill in BSMMU..:D.His posting is now in Rajsahi Medical College.I've seen him study all day and night for the last 2 months 16 hours a day.Congratulations on stealing a seat amongst only 10 seats available in Bangladesh and on the first try..:D",68.0,1.3,2.5,3.0,en
49,100,100,"#TB
#coxbazar
#siblings",68.0,1.3,2.5,3.0,en
50,101,101,"How to get nominations for an Oscar:
Make a movie about a gay black woman who falls in love with a gay White Chinese dude from Myanmar now living as a Rohinga in Bangladesh. 

How to win one: make the woman fight ""ISIS"" to get the green card of USA.",68.0,1.3,2.5,3.0,en
51,102,102,I have never realized life could be so boring​ at home.I would rather stay at IUT and complain about why the washroom is so dirty all the time or why Buet er baranda is so big it can fit 4 beds and not ours...:(.But at least my friends will be there,68.0,1.3,2.5,3.0,en
53,105,105,T.H.A.N.K  Y.O.U,68.0,1.3,2.5,3.0,en
54,107,107,#editedwithsnapseed,68.0,1.3,2.5,3.0,en
55,108,108,Taken with one plus.Edited with Snapseed.,68.0,1.3,2.5,3.0,en
58,114,114,Teach yo self kids,68.0,1.3,2.5,3.0,en
59,116,116,From #Save_IUT to #Saved_IUT in just 12 days.How to Be an IUTIAN 101.,68.0,1.3,2.5,3.0,en
60,117,117,So relatable it hurts..xD,68.0,1.3,2.5,3.0,en
61,119,119,#NotOurVC,68.0,1.3,2.5,3.0,en
62,122,122,"Family Tour. Cox's Bazar.
#Finally",68.0,1.3,2.5,3.0,en
63,123,123,The greatest nation having the stupidest president.Irony huh,68.0,1.3,2.5,3.0,en
65,125,125,Ocean 8 having all female cast?..boi Hollywood stop!,68.0,1.3,2.5,3.0,en
67,127,127,From the days of  being in a nokia music express phone shazam surely grew up!,68.0,1.3,2.5,3.0,en
68,128,128,Justice League?..pfff!,68.0,1.3,2.5,3.0,en
69,129,129,"Gift from ammu..:D
Thanks Muniruz Zaman for finding this beauty..:')",68.0,1.3,2.5,3.0,en
70,132,132,"Only one more year of this..:(
nights like this..*sigh*",68.0,1.3,2.5,3.0,en
71,133,133,"They grow up so fast don't they..:')
#vhai_khaoan
#convoloading",68.0,1.3,2.5,3.0,en
72,134,134,BEST MEME!,68.0,1.3,2.5,3.0,en
73,136,136,"Last Web-Architecture class of this semester.
Thanks Hasan Mahmud sir for making this subject as intriguing as it really is.:)",68.0,1.3,2.5,3.0,en
74,137,137,"Stars of my life came to visit IUT..:')
#ICTfest2k17",68.0,1.3,2.5,3.0,en
75,139,139,Thoughts and prayer guys thoughts and prayer.I mean who needs gun control.,68.0,1.3,2.5,3.0,en
76,140,140,"Somedays you have to stop and think is it ""Radical Islam""
or is it Radical ""Americanism"" that will be downfall of us?#massshooting",68.0,1.3,2.5,3.0,en
79,150,150,❤  May this doing be followed in our everyday life too,73.0,3.0,2.1,13.0,en
81,152,152,"🤔 okay, what's actually happening?",73.0,3.0,2.1,13.0,en
82,153,153,Proud to be a part of IUT ❤,73.0,3.0,2.1,13.0,en
83,154,154,"And when we buried him beneath the willow,
The angels sang a whiskey lullaby ❤",73.0,3.0,2.1,13.0,en
84,155,155,"Moreno killed it in the end ❤
And Blythe 😍 Well, Blythe is Blythe 😌",73.0,3.0,2.1,13.0,en
85,156,156,"Atif without vocal edits is bliss ❤
I can still remember the days when I used to sing along with others, this song brings back those backbencher days of school 😌
Got punished for this, but never learnt, did that again and again
Glad that I never learnt ❤",73.0,3.0,2.1,13.0,en
