,Unnamed: 0,index,Unnamed: 0.1,posts,Mach,LSRP12,LSRP2,NRSM,languages,Length,sentiment,person,Person,sentiment score
0,0,0,0,my heart my soul (crying),68,1.3,2.5,3,en,21,anger,2,2,0.839829147
1,1,2,2,Free speech is a joke in this country,68,1.3,2.5,3,en,37,joy,2,2,0.628497362
2,2,5,5,Make 500 sequels I don't care.Make another Justice league and your franchise is dead to me (annoyed),68,1.3,2.5,3,en,110,sadness,2,2,0.97374469
3,3,6,6,Everybody wants a piece of the politically correct cake,68,1.3,2.5,3,en,55,joy,2,2,0.992938697
4,4,10,10,And that's how a movement dies.,68,1.3,2.5,3,en,31,sadness,2,2,0.975138247
5,6,15,15,"France won the world cup
Croatia won our hearts...<3",68,1.3,2.5,3,en,52,joy,2,2,0.906789124
6,7,16,16,Underdogs all the way boiiiii,68,1.3,2.5,3,en,29,anger,2,2,0.977079868
7,8,21,21,*Gets beaten by two teams who reached the finals*,68,1.3,2.5,3,en,49,sadness,2,2,0.960506022
8,9,23,23,"yes please do post one more ""Its coming home..sorry England is coming home""..as if people were not creative enough(!)",68,1.3,2.5,3,en,117,joy,2,2,0.996050417
9,10,25,25,sorry not sorry,68,1.3,2.5,3,en,15,sadness,2,2,0.967915058
10,11,27,27,"ow boy the cringe is real on this one...
#Businessescomm_class
#dhamalmvi",68,1.3,2.5,3,en,73,joy,2,2,0.963536859
11,12,29,29,"Damn it stop stealing articles from the onion, dude",68,1.3,2.5,3,en,51,anger,2,2,0.995258272
12,15,32,32,welp time to delete the memes...,68,1.3,2.5,3,en,32,anger,2,2,0.501874983
13,16,33,33,The onion called they want their article back,68,1.3,2.5,3,en,45,anger,2,2,0.987921
14,17,34,34,with the best company at rajsahi!,68,1.3,2.5,3,en,44,joy,2,2,0.991270542
15,18,37,37,Bring on them memes plox...,68,1.3,2.5,3,en,27,anger,2,2,0.850551724
16,20,51,51,"This is what you expect from a world cup match!
#respect",68,1.3,2.5,3,en,56,joy,2,2,0.957364857
17,23,61,61,A+ for the commitment (laughing),68,1.3,2.5,3,en,25,joy,2,2,0.822614729
18,25,66,66,"Cox's Bazar.
TB",68,1.3,2.5,3,en,15,fear,2,2,0.674165785
19,26,67,67,there was an attemt,68,1.3,2.5,3,en,18,fear,2,2,0.458564788
20,27,68,68,"Apparently 7 years jail time is not enough for slaughtering a cow.You have to kill him for proper justice.Cow=1,Humanity=0.",68,1.3,2.5,3,en,123,joy,2,2,0.481229842
21,28,69,69,"Battle Royal on Black ops coz why not?
",68,1.3,2.5,3,en,56,anger,2,2,0.751876831
22,30,71,71,"*Insert Ryand Renold's ""but why"" gif here*",68,1.3,2.5,3,en,42,anger,2,2,0.653905451
23,32,75,75,"The only thing worse than thanos's massacre was finding those friends that says ""do you need spoiler?""..",68,1.3,2.5,3,en,106,anger,2,2,0.930116057
24,33,76,76,*coughs*innovation *coughs*,68,1.3,2.5,3,en,27,joy,2,2,0.510123014
25,34,79,79,The hype for infinity war ruined my hype for infinity war,68,1.3,2.5,3,en,57,sadness,2,2,0.996404767
26,37,85,85,"The grass was greener 
The light was brighter 
With friends surrounded 
The nights of wonder",68,1.3,2.5,3,en,92,joy,2,2,0.981469035
27,38,86,86,Way to a new beginning for our family.,68,1.3,2.5,3,en,38,joy,2,2,0.686487138
28,39,87,87,">come online
>see loathsome post about Bangladesh and politics
>....
>leave",68,1.3,2.5,3,en,75,sadness,2,2,0.66994381
29,40,89,89,"I am stucked in Gazipur for 2 hours. There is a dustbin beside the road. Air smells good. Feels like spring has come (sarcasm)
",68,1.3,2.5,3,en,117,joy,2,2,0.591577947
30,41,90,90,"Apple: *farts*
Every other Chinese company ever: *farts but at only $500""",68,1.3,2.5,3,en,73,anger,2,2,0.938618183
31,42,91,91,"Before you say ""Black mirror is just futuristic and wont happen in real life ever"".Please read this!",68,1.3,2.5,3,en,100,joy,2,2,0.985193014
32,43,92,92,If this doesn't get you then u have no soul.,68,1.3,2.5,3,en,43,anger,2,2,0.891180515
33,44,95,95,And then God said:If you sin you will be punished with 1.5hrs  of class instead of the usual 50mins.,68,1.3,2.5,3,en,100,sadness,2,2,0.995886147
34,45,96,96,Brings Back College Memories.,68,1.3,2.5,3,en,29,joy,2,2,0.745321751
35,46,97,97,Enjoying the times with food and good company (smily face),68,1.3,2.5,3,en,49,joy,2,2,0.966467559
36,47,98,98,credits:Tanvir Hossain vhai,68,1.3,2.5,3,en,27,joy,2,2,0.797053576
37,48,99,99,Allhamdulliah. Congratulations brother for getting chance to study M.Phill in BSMMU (smily face). His posting is now in Rajsahi Medical College.I've seen him study all day and night for the last 2 months 16 hours a day.Congratulations on stealing a seat amongst only 10 seats available in Bangladesh and on the first try. (smily face),68,1.3,2.5,3,en,311,joy,2,2,0.493234873
38,49,100,100,,68,1.3,2.5,3,en,23,anger,2,2,0.35633719
39,50,101,101,"How to get nominations for an Oscar: Make a movie about a gay black woman who falls in love with a gay White Chinese dude from Myanmar now living as a Rohinga in Bangladesh.  How to win one: make the woman fight ""ISIS"" to get the green card of USA.",68,1.3,2.5,3,en,249,anger,2,2,0.701733768
40,51,102,102,I have never realized life could be so boring​ at home.I would rather stay at IUT and complain about why the washroom is so dirty all the time or why Buet er baranda is so big it can fit 4 beds and not ours...:(.But at least my friends will be there,68,1.3,2.5,3,en,249,sadness,2,2,0.998529553
41,53,105,105,T.H.A.N.K  Y.O.U,68,1.3,2.5,3,en,16,anger,2,2,0.779722631
42,54,107,107,,68,1.3,2.5,3,en,19,joy,2,2,0.516793907
43,55,108,108,Taken with one plus. Edited with Snapseed.,68,1.3,2.5,3,en,41,joy,2,2,0.418596298
44,58,114,114,Teach yo self kids,68,1.3,2.5,3,en,18,joy,2,2,0.875814199
45,59,116,116,From #Save_IUT to #Saved_IUT in just 12 days.How to Be an IUTIAN 101.,68,1.3,2.5,3,en,69,joy,2,2,0.975736201
46,60,117,117,So relatable it hurts (laughing),68,1.3,2.5,3,en,25,sadness,2,2,0.803686798
47,61,119,119,,68,1.3,2.5,3,en,9,joy,2,2,0.535068393
48,62,122,122,Family Tour. Cox's Bazar.,68,1.3,2.5,3,en,34,joy,2,2,0.905506253
49,63,123,123,The greatest nation having the stupidest president. Irony huh,68,1.3,2.5,3,en,60,anger,2,2,0.936978698
50,65,125,125,Ocean 8 having all female cast?..boi Hollywood stop!,68,1.3,2.5,3,en,52,anger,2,2,0.454853386
51,67,127,127,From the days of  being in a nokia music express phone shazam surely grew up!,68,1.3,2.5,3,en,77,joy,2,2,0.98524785
52,68,128,128,Justice League?..pfff!,68,1.3,2.5,3,en,22,anger,2,2,0.721763134
53,69,129,129,"Gift from ammu (smily face)
Thanks Muniruz Zaman for finding this beauty ( happy crying)",68,1.3,2.5,3,en,68,joy,2,2,0.986831784
54,70,132,132,"Only one more year of this (sad)
nights like this..*sigh*",68,1.3,2.5,3,en,55,joy,2,2,0.381121755
55,71,133,133,"They grow up so fast don't they..:')
#vhai_khaoan
#convoloading",68,1.3,2.5,3,en,63,joy,2,2,0.743759871
56,72,134,134,BEST MEME!,68,1.3,2.5,3,en,10,joy,2,2,0.975785792
57,73,136,136,Last Web-Architecture class of this semester. Thanks Hasan Mahmud sir for making this subject as intriguing as it really is (happy),68,1.3,2.5,3,en,126,surprise,2,2,0.943486333
58,74,137,137,Stars of my life came to visit IUT (happy),68,1.3,2.5,3,en,52,joy,2,2,0.956504107
59,75,139,139,Thoughts and prayer guys thoughts and prayer.I mean who needs gun control.,68,1.3,2.5,3,en,74,anger,2,2,0.799380124
60,76,140,140,"Somedays you have to stop and think is it ""Radical Islam""
or is it Radical ""Americanism"" that will be downfall of us?#massshooting",68,1.3,2.5,3,en,130,anger,2,2,0.906806767
61,79,150,150,May this doing be followed in our everyday life too,73,3,2.1,13,en,54,joy,3,3,0.971804559
62,81,152,152,"okay, what's actually happening?",73,3,2.1,13,en,34,joy,3,3,0.443917006
63,82,153,153,Proud to be a part of IUT ,73,3,2.1,13,en,27,joy,3,3,0.99848038
64,83,154,154,"And when we buried him beneath the willow,
The angels sang a whiskey lullaby ❤",73,3,2.1,13,en,78,joy,3,3,0.706759751
65,84,155,155,"Moreno killed it in the end 
And Blythe 😍 Well, Blythe is Blythe 😌",73,3,2.1,13,en,67,anger,3,3,0.976810575
66,85,156,156,"Atif without vocal edits is bliss ❤
I can still remember the days when I used to sing along with others, this song brings back those backbencher days of school 😌
Got punished for this, but never learnt, did that again and again
Glad that I never learnt ❤",73,3,2.1,13,en,254,sadness,3,3,0.993865788
67,88,159,159,"Best of luck brother
Make Bangladesh and IUT proud <3",73,3,2.1,13,en,49,joy,3,3,0.99837625
68,90,161,161,"I need to get a PS4 now, I'm convinced",73,3,2.1,13,en,40,joy,3,3,0.99664247
69,91,162,162,"No more snoozing of alarms 6-7 times in the morning
#Mid_Sesh 😌",73,3,2.1,13,en,63,anger,3,3,0.461552978
70,92,163,163,"From the summer to the spring
From the mountain to the air
From samaritan to sin
And it's waiting on the air 😍",73,3,2.1,13,en,110,anger,3,3,0.648900688
