,Unnamed: 0.2,Unnamed: 0.1,level_0,index,Unnamed: 0,post,Mach,LSRP12,LSRP2,NRSM,Person,dark_triad,eng_usage_ratio,bng_usage_ratio,eng_switching_ratio,bng_switching_ratio,sentiment
0,0,0,0,0,0,my heart my soul..T-T,68,1.3,2.5,3,2,"mach, psycho",100.0,0.0,0.0,0.0,anger
1,1,1,2,2,2,Free speech is a joke in this country,68,1.3,2.5,3,2,"mach, psycho",100.0,0.0,0.0,0.0,joy
2,2,2,5,5,5,"Make 500 sequels I don't care.Make another Justice league and your franchise is dead to me...-_-
#SDCCTrailers",68,1.3,2.5,3,2,"mach, psycho",76.47058823529412,17.647058823529413,66.66666666666666,33.33333333333333,sadness
3,3,3,6,6,6,Everybody wants a piece of the politically correct cake,68,1.3,2.5,3,2,"mach, psycho",100.0,0.0,0.0,0.0,joy
4,4,4,10,10,10,And that's how a movement dies.,68,1.3,2.5,3,2,"mach, psycho",83.33333333333334,16.666666666666664,50.0,50.0,sadness
5,5,5,12,12,12,হুম আর কি কি হচ্ছে একটা লিস্ট করি?,68,1.3,2.5,3,2,"mach, psycho",0.0,100.0,0.0,0.0,joy
6,6,6,15,15,15,"France won the world cup
Croatia won our hearts...<3",68,1.3,2.5,3,2,"mach, psycho",87.5,12.5,50.0,50.0,joy
7,7,7,16,16,16,Underdogs all the way boiiiii,68,1.3,2.5,3,2,"mach, psycho",80.0,20.0,100.0,0.0,anger
8,8,8,21,21,21,*Gets beaten by two teams who reached the finals*,68,1.3,2.5,3,2,"mach, psycho",77.77777777777779,22.22222222222222,50.0,50.0,sadness
9,9,9,23,23,23,"yes please do post one more ""Its coming home..sorry England is coming home""..as if people were not creative enough(!)",68,1.3,2.5,3,2,"mach, psycho",78.94736842105263,21.052631578947366,57.14285714285714,42.85714285714285,joy
10,10,10,25,25,25,sorry not sorry,68,1.3,2.5,3,2,"mach, psycho",100.0,0.0,0.0,0.0,sadness
11,11,11,27,27,27,"ow boy the cringe is real on this one...
#Businessescomm_class
#dhamalmvi",68,1.3,2.5,3,2,"mach, psycho",88.88888888888889,11.11111111111111,100.0,0.0,joy
12,12,12,29,29,29,"Damn it stop stealing articles from the onion, dude",68,1.3,2.5,3,2,"mach, psycho",100.0,0.0,0.0,0.0,anger
13,13,13,30,30,30,আমি সিওর ওয়ার্ল্ড এর কোন না কোন রিলিজিয়ন এ বাসে বাচ্চা নিয়ে উঠা পাপ এটা বলা আসে।,68,1.3,2.5,3,2,"mach, psycho",0.0,100.0,0.0,0.0,joy
14,14,14,31,31,31,সালা সেদিন এই সেইম মিম এ আর্জেন্টিনার পতাকা ছিল *agnry reaccc*,68,1.3,2.5,3,2,"mach, psycho",0.0,100.0,0.0,0.0,joy
15,15,15,32,32,32,welp time to delete the memes...,68,1.3,2.5,3,2,"mach, psycho",66.66666666666666,33.33333333333333,50.0,50.0,anger
16,16,16,33,33,33,The onion called they want their article back,68,1.3,2.5,3,2,"mach, psycho",100.0,0.0,0.0,0.0,anger
17,17,17,34,34,34,কালাই রুটি with the best company at rajsahi!,68,1.3,2.5,3,2,"mach, psycho",62.5,37.5,50.0,50.0,joy
18,18,18,37,37,37,Bring on them memes plox...,68,1.3,2.5,3,2,"mach, psycho",60.0,40.0,100.0,0.0,anger
19,19,19,44,44,44,ahare.jpg,68,1.3,2.5,3,2,"mach, psycho",0.0,100.0,0.0,0.0,anger
20,20,20,51,51,51,"This is what you expect from a world cup match!
#respect",68,1.3,2.5,3,2,"mach, psycho",90.0,10.0,100.0,0.0,anger
21,21,21,55,55,55,Eid mubarak good people!,68,1.3,2.5,3,2,"mach, psycho",25.0,75.0,50.0,50.0,joy
22,22,22,56,56,56,EID MUBARAK!,68,1.3,2.5,3,2,"mach, psycho",0.0,100.0,0.0,0.0,anger
23,23,23,61,61,61,A+ for the commitment..xD,68,1.3,2.5,3,2,"mach, psycho",75.0,25.0,0.0,100.0,joy
24,24,24,62,62,62,<3,68,1.3,2.5,3,2,"mach, psycho",50.0,0.0,0.0,0.0,anger
25,25,25,66,66,66,"Cox's Bazar.
TB",68,1.3,2.5,3,2,"mach, psycho",0.0,100.0,0.0,0.0,fear
26,26,26,67,67,67,r/therewasanattemt,68,1.3,2.5,3,2,"mach, psycho",0.0,100.0,0.0,0.0,fear
27,27,27,68,68,68,"Apparently 7 years jail time is not enough for slaughtering a cow.You have to kill him for proper justice.Cow=1,Humanity=0.",68,1.3,2.5,3,2,"mach, psycho",85.0,10.0,66.66666666666666,33.33333333333333,anger
28,28,28,69,69,69,"Battle Royal on Black ops coz why not?
#fortniteandmoney",68,1.3,2.5,3,2,"mach, psycho",62.5,37.5,66.66666666666666,33.33333333333333,anger
29,29,29,70,70,70,Savage,68,1.3,2.5,3,2,"mach, psycho",100.0,0.0,0.0,0.0,anger
30,30,30,71,71,71,"*Insert Ryand Renold's ""but why"" gif here*",68,1.3,2.5,3,2,"mach, psycho",0.0,100.0,0.0,0.0,anger
31,31,31,73,73,73,shit boi,68,1.3,2.5,3,2,"mach, psycho",50.0,50.0,100.0,0.0,anger
32,32,32,75,75,75,"The only thing worse than thanos's massacre was finding those friends that says ""spolier lagbe spoiler?""..",68,1.3,2.5,3,2,"mach, psycho",75.0,25.0,66.66666666666666,33.33333333333333,anger
33,33,33,76,76,76,*coughs*innovation *coughs*,68,1.3,2.5,3,2,"mach, psycho",0.0,100.0,0.0,0.0,joy
34,34,34,79,79,79,The hype for infinity war ruined my hype for infinity war,68,1.3,2.5,3,2,"mach, psycho",100.0,0.0,0.0,0.0,sadness
35,35,35,82,82,82,"Amazing ""NOTCH"" display..hahahahahahhaa....",68,1.3,2.5,3,2,"mach, psycho",33.33333333333333,66.66666666666666,100.0,0.0,surprise
36,36,36,83,83,83,Kabsion.,68,1.3,2.5,3,2,"mach, psycho",0.0,100.0,0.0,0.0,anger
37,37,37,85,85,85,"The grass was greener 
The light was brighter 
With friends surrounded 
The nights of wonder",68,1.3,2.5,3,2,"mach, psycho",80.0,20.0,50.0,50.0,joy
38,38,38,86,86,86,Way to a new beginning for our family.,68,1.3,2.5,3,2,"mach, psycho",100.0,0.0,0.0,0.0,joy
39,39,39,87,87,87,">come online
>see loathsome post about Bangladesh and politics
>....
>leave",68,1.3,2.5,3,2,"mach, psycho",62.5,37.5,50.0,50.0,sadness
40,40,40,89,89,89,"Gazipur e boshe asi 2hr+ rastar pashe moylar storage.Batashe sugndho.Bosonto asche mone hosse.😊😊😊😊
#blessed #Deshprem",68,1.3,2.5,3,2,"mach, psycho",13.333333333333334,80.0,50.0,50.0,anger
41,41,41,90,90,90,"Apple: *farts*
Every other Chinese company ever: *farts but at only $500""",68,1.3,2.5,3,2,"mach, psycho",54.54545454545454,45.45454545454545,50.0,50.0,anger
42,42,42,91,91,91,"Before you say ""Black mirror is just futuristic and wont happen in real life ever"".Please read this!",68,1.3,2.5,3,2,"mach, psycho",82.35294117647058,17.647058823529413,60.0,40.0,joy
43,43,43,92,92,92,If this doesn't getchu then u have no soul.,68,1.3,2.5,3,2,"mach, psycho",77.77777777777779,22.22222222222222,50.0,50.0,anger
44,44,44,95,95,95,And then God said:If you sin you will be punished with 1.5hrs  of class instead of the usual 50mins.,68,1.3,2.5,3,2,"mach, psycho",80.95238095238095,14.285714285714285,75.0,25.0,sadness
45,45,45,96,96,96,Brings Back College Memories.,68,1.3,2.5,3,2,"mach, psycho",100.0,0.0,0.0,0.0,joy
46,46,46,97,97,97,Enjoying the times with food and good company..:D,68,1.3,2.5,3,2,"mach, psycho",100.0,0.0,0.0,0.0,joy
47,47,47,98,98,98,credits:Tanvir Hossain vhai,68,1.3,2.5,3,2,"mach, psycho",0.0,100.0,0.0,0.0,joy
48,48,48,99,99,99,"Allhamdulliah.
Congratulations vhai for getting chance to study M.Phill in BSMMU..:D.His posting is now in Rajsahi Medical College.I've seen him study all day and night for the last 2 months 16 hours a day.Congratulations on stealing a seat amongst only 10 seats available in Bangladesh and on the first try..:D",68,1.3,2.5,3,2,"mach, psycho",80.76923076923077,13.461538461538462,45.45454545454545,54.54545454545454,anger
49,49,49,100,100,100,"#TB
#coxbazar
#siblings",68,1.3,2.5,3,2,"mach, psycho",0.0,100.0,0.0,0.0,anger
50,50,50,101,101,101,"How to get nominations for an Oscar:
Make a movie about a gay black woman who falls in love with a gay White Chinese dude from Myanmar now living as a Rohinga in Bangladesh. 

How to win one: make the woman fight ""ISIS"" to get the green card of USA.",68,1.3,2.5,3,2,"mach, psycho",87.75510204081633,12.244897959183673,50.0,50.0,anger
51,51,51,102,102,102,I have never realized life could be so boring​ at home.I would rather stay at IUT and complain about why the washroom is so dirty all the time or why Buet er baranda is so big it can fit 4 beds and not ours...:(.But at least my friends will be there,68,1.3,2.5,3,2,"mach, psycho",86.53846153846155,11.538461538461538,50.0,50.0,sadness
52,52,52,104,104,104,huh..,68,1.3,2.5,3,2,"mach, psycho",100.0,0.0,0.0,0.0,anger
53,53,53,105,105,105,T.H.A.N.K  Y.O.U,68,1.3,2.5,3,2,"mach, psycho",75.0,0.0,0.0,0.0,joy
54,54,54,107,107,107,#editedwithsnapseed,68,1.3,2.5,3,2,"mach, psycho",50.0,0.0,0.0,0.0,anger
55,55,55,108,108,108,Taken with one plus.Edited with Snapseed.,68,1.3,2.5,3,2,"mach, psycho",66.66666666666666,33.33333333333333,66.66666666666666,33.33333333333333,joy
56,56,56,109,109,109,Ariful Islam bro knows da way,68,1.3,2.5,3,2,"mach, psycho",50.0,50.0,40.0,60.0,joy
57,57,57,111,111,111,F.I.N.A.L.L.Y,68,1.3,2.5,3,2,"mach, psycho",100.0,0.0,0.0,0.0,joy
58,58,58,114,114,114,Teach yo self kids,68,1.3,2.5,3,2,"mach, psycho",100.0,0.0,0.0,0.0,joy
59,59,59,116,116,116,From #Save_IUT to #Saved_IUT in just 12 days.How to Be an IUTIAN 101.,68,1.3,2.5,3,2,"mach, psycho",64.70588235294117,11.76470588235294,66.66666666666666,33.33333333333333,joy
60,60,60,117,117,117,So relatable it hurts..xD,68,1.3,2.5,3,2,"mach, psycho",75.0,25.0,50.0,50.0,anger
61,61,61,119,119,119,#NotOurVC,68,1.3,2.5,3,2,"mach, psycho",50.0,0.0,0.0,0.0,anger
62,62,62,122,122,122,"Family Tour. Cox's Bazar.
#Finally",68,1.3,2.5,3,2,"mach, psycho",50.0,50.0,100.0,0.0,joy
63,63,63,123,123,123,The greatest nation having the stupidest president.Irony huh,68,1.3,2.5,3,2,"mach, psycho",87.5,12.5,50.0,50.0,anger
64,64,64,124,124,124,Not your typical development environment!,68,1.3,2.5,3,2,"mach, psycho",80.0,20.0,100.0,0.0,anger
65,65,65,125,125,125,Ocean 8 having all female cast?..boi Hollywood stop!,68,1.3,2.5,3,2,"mach, psycho",66.66666666666666,22.22222222222222,66.66666666666666,33.33333333333333,anger
66,66,66,126,126,126,"->Birth
->Admit in IUT
->Iut?...eta private na public?
->.... 
->Dies",68,1.3,2.5,3,2,"mach, psycho",28.57142857142857,71.42857142857143,50.0,50.0,anger
